Unnamed: 0,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
6,CAS_7723-14-0,2009,2009-01--2009-12,ES014MSPFES-014-NR-038-000-02-02,2,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
10,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0220,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
17,CAS_14265-44-2,2009,2009-01--2009-12,FRGR1496,1,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
24,CAS_7723-14-0,2009,2009-01--2009-12,FRDR174,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
34,CAS_7723-14-0,2009,2009-01--2009-12,FRGR1022,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
43,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0175,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
50,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0178A,1,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
61,CAS_7723-14-0,2009,2009-01--2009-12,FRFR238,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
67,CAS_7723-14-0,2009,2009-01--2009-12,ES10603,2,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
124,CAS_14265-44-2,2008,2008-01--2008-12,UKSC004734,3,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
126,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006500,3,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
127,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006838,3,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
128,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010062,3,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
129,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020054,3,25867961.0,3.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
130,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020572,3,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
131,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020633,3,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
132,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023043,3,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
133,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023282,3,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
134,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023294,3,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
211,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0418,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
214,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0381,1,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
224,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0142B,1,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
228,CAS_14265-44-2,2009,2009-01--2009-12,ES12043,2,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
231,CAS_14265-44-2,2009,2009-01--2009-12,ES030MSPF0522011,2,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
238,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0248,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
239,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0254,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
245,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0143A,1,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
257,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R722,1,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
260,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R550,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
277,CAS_7723-14-0,2009,2009-01--2009-12,ES12113,2,50941692.0,6.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
281,CAS_7723-14-0,2009,2009-01--2009-12,FRB1R600,1,71176346.0,6.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
287,CAS_14265-44-2,2009,2009-01--2009-12,FRHR2A,1,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
290,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0142B,1,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
298,CAS_14265-44-2,2009,2009-01--2009-12,ES030MSPF0404021,2,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
