,code,year,period,id,Country,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
6,CAS_7723-14-0,2009,2009-01--2009-12,ES014MSPFES-014-NR-038-000-02-02,Spain,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
10,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0220,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
17,CAS_14265-44-2,2009,2009-01--2009-12,FRGR1496,France,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
24,CAS_7723-14-0,2009,2009-01--2009-12,FRDR174,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
34,CAS_7723-14-0,2009,2009-01--2009-12,FRGR1022,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
43,CAS_7723-14-0,2009,2009-01--2009-12,FRGR0175,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
50,CAS_14265-44-2,2009,2009-01--2009-12,FRGR0178A,France,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
61,CAS_7723-14-0,2009,2009-01--2009-12,FRFR238,France,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
67,CAS_7723-14-0,2009,2009-01--2009-12,ES10603,Spain,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
107,CAS_7723-14-0,2011,2011-01--2011-12,ATOK900470056,Austria,19909000.0,4.0,0.0,31.4,7.0,4.4,18.5,19.7,11.1,0.0,0.0,25.66
124,CAS_14265-44-2,2008,2008-01--2008-12,UKSC004734,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
126,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006500,United Kingdom,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
127,CAS_14265-44-2,2008,2008-01--2008-12,UKSC006838,United Kingdom,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
128,CAS_14265-44-2,2008,2008-01--2008-12,UKSC010062,United Kingdom,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
129,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020054,United Kingdom,25867961.0,3.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
130,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020572,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
131,CAS_14265-44-2,2008,2008-01--2008-12,UKSC020633,United Kingdom,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
132,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023043,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
133,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023282,United Kingdom,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
134,CAS_14265-44-2,2008,2008-01--2008-12,UKSC023294,United Kingdom,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25
